Cst_Cnt,Btl_Cnt,Depthm,T_degC,Salnty
1,1,0,10.5,33.44
1,2,8,10.46,33.44
1,3,10,10.46,33.437
1,4,19,10.45,33.42
1,5,20,10.45,33.421
1,6,30,10.45,33.431
1,7,39,10.45,33.44
1,8,50,10.24,33.424
1,9,58,10.06,33.42
1,10,75,9.86,33.494
1,11,78,9.83,33.51
1,12,100,9.67,33.58
1,13,117,9.5,33.64
1,14,125,9.32,33.689
1,15,150,8.76,33.847
1,16,152,8.71,33.86
1,17,200,8.53,33.876
1,19,250,8.26,33.926
1,20,285,7.96,33.98
1,21,300,7.77,33.99
1,22,373,6.8,34.04
1,23,400,6.55,34.056
1,24,500,5.78,34.113
1,25,598,5.3,34.16
1,26,600,5.29,34.161
1,27,700,5.01,34.21
1,28,800,4.72,34.261
1,29,896,4.44,34.31
2,30,0,10.1,32.95
2,31,10,9.89,32.94
2,32,20,9.75,32.939
2,33,24,9.69,32.95
2,34,30,9.52,33.013
2,35,47,9.06,33.24
2,36,50,9.04,33.272
2,37,71,8.92,33.46
2,38,75,8.83,33.488
2,39,94,8.37,33.6
2,40,100,8.26,33.631
2,41,125,7.85,33.745
2,42,140,7.64,33.8
2,43,150,7.5,33.833
2,44,189,6.98,33.93
2,45,200,6.85,33.939
2,46,250,6.32,33.943
2,47,282,6.05,33.95
2,48,300,5.95,33.957
2,49,379,5.6,34
2,50,400,5.5,34.016
2,51,500,5.02,34.101
2,52,565,4.74,34.16
2,53,600,4.62,34.188
2,54,700,4.33,34.259
2,55,800,4.08,34.319
2,56,840,3.99,34.34
2,57,900,3.85,34.354
2,58,1000,3.62,34.378
2,59,1100,3.38,34.403
2,60,1200,3.15,34.429
2,61,1203,3.14,34.43
3,62,0,10.2,32.63
3,63,10,10.05,32.66
3,64,20,9.95,32.66
3,65,22,9.94,32.66
3,66,30,9.92,32.673
3,67,38,9.87,32.68
3,68,49,9.62,32.75
3,69,50,9.66,32.736
3,70,55,9.9,32.66
3,71,73,9.65,32.74
3,72,75,9.62,32.765
3,73,99,9.23,33.12
3,74,100,9.21,33.132
3,75,125,8.79,33.398
3,76,150,8.37,33.605
3,77,191,7.71,33.82
3,78,200,7.58,33.844
3,79,250,6.93,33.926
3,80,290,6.47,33.93
3,81,300,6.37,33.941
3,82,400,5.54,34.041
3,83,488,5.02,34.11
3,84,500,4.97,34.113
3,85,600,4.59,34.135
3,86,700,4.31,34.151
3,87,789,4.14,34.16
3,88,800,4.11,34.169
3,89,900,3.89,34.252
3,90,1000,3.66,34.336
3,91,1100,3.43,34.421
3,92,1134,3.35,34.45
4,93,0,10.4,32.68
4,94,8,10.22,32.7
4,95,10,10.2,32.694
4,96,19,10.14,32.66
4,97,20,10.14,32.657
4,98,30,10.07,32.641
4,100,50,9.72,32.699
4,101,62,9.42,32.79
4,102,75,9.32,32.967
4,103,84,9.27,33.1
4,104,100,9.02,33.286
4,105,125,8.6,33.533
4,106,127,8.56,33.55
4,107,150,8.32,33.746
4,108,164,8.18,33.84
4,109,200,7.71,33.863
4,110,242,7.16,33.89
4,111,250,7.08,33.893
4,112,300,6.61,33.91
4,113,329,6.38,33.75
4,114,400,5.79,33.955
4,115,492,5.14,34
4,116,500,5.1,34.01
4,117,600,4.65,34.128
4,118,700,4.31,34.245
4,119,739,4.21,34.29
4,120,800,4.07,34.309
4,121,900,3.83,34.34
4,122,1000,3.59,34.372
4,123,1085,3.39,34.4
5,124,0,10.5,32.75
5,125,8,10.52,32.75
5,126,10,10.51,32.748
5,127,19,10.48,32.74
5,128,20,10.47,32.74
5,129,30,10.34,32.737
5,131,50,9.85,32.738
5,132,55,9.7,32.74
5,133,71,9.29,32.74
5,134,75,9.2,32.791
5,135,100,9.35,33.42
5,136,125,8.28,33.565
5,137,128,8.24,33.62
5,138,150,7.95,33.724
5,139,191,7.5,33.78
5,140,200,7.42,33.807
5,141,250,6.98,33.938
5,142,255,6.94,33.95
5,143,300,6.54,33.988
5,144,380,5.86,34
5,145,400,5.77,34.012
5,146,500,5.3,34.075
5,147,600,4.83,34.141
5,148,700,4.36,34.211
5,149,755,4.1,34.25
6,150,0,11.6,32.88
6,151,9,11.69,32.86
6,152,10,11.69,32.86
6,153,20,11.66,32.86
6,154,23,11.64,32.86
6,155,30,11.64,32.863
6,156,47,11.64,32.88
6,157,50,11.61,32.882
6,158,71,11.36,32.9
6,159,75,11.18,32.927
6,160,94,10.2,33.1
6,161,100,9.9,33.165
6,162,125,8.83,33.425
6,163,141,8.29,33.58
6,164,150,8.11,33.638
6,165,187,7.65,33.8
6,166,200,7.5,33.833
6,167,250,6.98,33.916
6,168,279,6.72,33.93
6,169,300,6.54,33.944
6,170,377,5.96,33.98
6,171,400,5.78,33.996
6,172,500,5.09,34.073
6,173,568,4.68,34.13
6,174,600,4.54,34.154
6,175,700,4.17,34.225
6,176,800,3.88,34.286
6,177,846,3.78,34.31
6,178,900,3.67,34.321
6,179,1000,3.48,34.342
6,180,1100,3.28,34.363
6,181,1200,3.08,34.385
6,182,1300,2.88,34.408
6,183,1352,2.78,34.42
7,184,0,12.5,33.17
7,185,8,12.66,33.24
7,186,10,12.66,33.212
7,187,20,12.64,33.057
7,188,21,12.64,33.04
7,189,30,12.64,33.068
7,190,43,12.64,33.17
7,191,50,12.64,33.159
7,192,65,12.63,33.13
7,193,75,12.64,33.158
7,194,87,12.66,33.22
7,195,100,12.52,33.283
7,196,125,11.94,33.383
7,197,130,11.77,33.4
7,198,150,10.84,33.42
7,199,172,9.73,33.44
7,200,200,8.9,33.518
7,201,250,7.75,33.672
7,202,254,8.16,33.86
7,203,300,7.03,33.828
7,204,341,6.76,33.95
7,205,400,6.07,33.932
7,206,500,5.21,33.942
7,207,514,5.12,33.8
7,208,600,4.71,33.996
7,209,700,4.38,34.086
7,210,747,4.28,34.14
7,211,800,4.14,34.166
7,212,900,3.89,34.217
7,213,1000,3.63,34.268
7,214,1100,3.37,34.32
7,215,1200,3.11,34.374
7,216,1212,3.08,34.38
8,217,0,12.2,33.13
8,218,7,12.22,32.92
8,219,10,12.22,32.9
8,220,19,12.23,32.84
8,221,20,12.23,32.842
8,222,30,12.23,32.858
8,224,50,12.21,32.891
8,225,55,12.2,32.9
8,226,74,12.24,33.04
8,227,75,12.25,33.042
8,228,100,12.49,33.096
8,229,111,12.6,33.12
8,230,125,11.74,33.164
8,231,150,9.91,33.293
8,232,151,9.83,33.3
8,233,200,8.3,33.66
8,234,217,8.06,33.77
8,235,250,7.61,33.874
8,236,291,7.21,33.93
8,237,300,7.1,33.934
8,238,400,5.93,33.934
8,239,443,5.49,33.91
8,240,500,5.13,33.936
8,241,600,4.67,33.993
8,242,681,4.44,34.05
8,243,700,4.39,34.061
8,244,800,4.11,34.12
8,245,900,3.84,34.179
8,246,1000,3.56,34.24
8,247,1016,3.52,34.25
9,248,0,12,32.97
9,249,9,8.86,32.94
9,250,10,12,32.94
9,251,20,11.99,32.94
9,252,22,11.99,32.94
9,253,30,11.99,32.963
9,254,44,12,33.01
9,255,50,11.95,33
9,256,67,11.7,32.95
9,257,75,11.57,32.983
9,258,90,11.2,33.08
9,259,100,10.67,33.15
9,260,125,9.36,33.356
